original;named_individual
(Mechanical Finishing);http://w3id.org/CEON/ontology/textile/mechanicalFinishing
Acid dye;http://w3id.org/CEON/ontology/textile/acidDye
Analine dye;http://w3id.org/CEON/ontology/textile/analineDye
coating;http://w3id.org/CEON/ontology/textile/coating
Direct dye;http://w3id.org/CEON/ontology/textile/directDye
Direct Dyed;http://w3id.org/CEON/ontology/textile/directDyed
Dope Dyed;http://w3id.org/CEON/ontology/textile/dopeDyed
incineration;http://w3id.org/CEON/ontology/textile/incineration
Inkjet printed;http://w3id.org/CEON/ontology/textile/inkjetPrinted
No Printing;http://w3id.org/CEON/ontology/textile/noPrinting
No Water Properties;http://w3id.org/CEON/ontology/textile/noWaterProperties
Pigment (natural);http://w3id.org/CEON/ontology/textile/pigmentNatural
Top Dyed;http://w3id.org/CEON/ontology/textile/topDyed
Undyed;http://w3id.org/CEON/ontology/textile/undyed
Water Repellent;http://w3id.org/CEON/ontology/textile/waterRepellent
Water Resistant;http://w3id.org/CEON/ontology/textile/waterResistant
Waterproof;http://w3id.org/CEON/ontology/textile/waterproof
